pose 1 = [-0,0044, -0,3942, -0,3942, 1,0904, 1,4724, 1,7905] q=[-1.7180771939926442, -0.7109292241636175, 1.7814011564933163, -2.031686366337245, -0.16215411406759936, 2.0920246215651543, -0.404706278561511, 0.03965248912572861, 0.03965248912572861, 0, 0, 1.2, 0, 0, 0, 1, 0, 0, 0.761, 0, 0, 0, 1]

pose 2 = [-0.0524, -0.0043, 1.3018, -0.1138, 1.5008, 3.1398] q=[-0.08365321065563905, -0.12564972848850384, -0.25527244553231354, -2.2638085729818602, 0.18335012274318271, 2.271388830634593, 0.4114675967693328, 0.03965248912572861, 0.03965248912572861, 0, 0, 1.2, 0, 0, 0, 1, 0, 0, 0.761, 0, 0, 0, 1]

pose 3 = [-0.2850, -0.0580, 1.0409, 0.0731, 0.6406, 3.0212] q=[-0.05157284384547618, 1.0283125292962054, -0.2913534743810509, -0.7642253857007016, 0.03855514845975053, 1.121846562537241, 0.41225444795749555, 0.03965216130018234, 0.03965216130018234, 0, 0, 1.2, 0, 0, 0, 1, 0, 0, 0.761, 0, 0, 0, 1]

pose 4 = [0.1575, -0.0715, 1.3250, -0.0285, 1.7977, 3.0460] q=[-0.05478727874318317, -0.7938049555744543, -0.35911200397474724, -2.9131929487226227, -0.06057200954078315, 2.5871138933214803, 0.42045920221010846, 0.03965216130018234, 0.03965216130018234, 0, 0, 1.2, 0, 0, 0, 1, 0, 0, 0.761, 0, 0, 0, 1]

pose 5 = [0.1777, 0.1376, 1.0092, -0.4320, 2.3494, 2.5612] q=[1.03587331867218, -1.7588793845049069, -2.037785774097108, -2.12462599162049, -0.8490615795320935, 2.6348447270260915, -0.6350421789487203, 0.03965216130018234, 0.03965216130018234, 0, 0, 1.2, 0, 0, 0, 1, 0, 0, 0.761, 0, 0, 0, 1]

pose 6 = [0.3423, 0.1107, 1.0167, -0.2000, 2.7389, -0.3941] q=[0.863985667981828, -0.7238225761965702, -1.4704070383874994, -2.892801415192455, 0.01564944964321047, 3.4766318808926475, 2.6589325977940175, 0.03965216130018234, 0.03965216130018234, 0, 0, 1.2, 0, 0, 0, 1, 0, 0, 0.761, 0, 0, 0, 1]

pose 7 = [-0.1910, -0.4286, 1.1456, 0.8120, 1.1935, 2.1774] q=[0.631494017772972, 0.7940648387336751, -0.661286304246612, -1.1262664690854254, -0.12079424210038898, 1.5545742316665425, -0.20747697702960832, 0.03965216130018234, 0.03965216130018234, 0, 0, 1.2, 0, 0, 0, 1, 0, 0, 0.761, 0, 0, 0, 1]

pose 8 = [-0.0965, 0.3290, 0.9153, -1.2280, 0.7993, -2.4916] q=[-0.376418760772337, 1.2875608962748715, -0.8504473277567819, -0.7287389496144512, 1.3772743044031148, 0.8349522073735278, 1.3239533119212008, 0.03965183347463608, 0.03965183347463608, 0, 0, 1.2, 0, 0, 0, 1, 0, 0, 0.761, 0, 0, 0, 1]

pose 9 = [0.3246, 0.0754, 1.1039, -0.2027, 2.2598, 2.9187] q=[0.565188381094901, -1.0647781079442877, -2.0215764968804466, -2.888059523643393, -0.4049897953886438, 3.119851904622492, -0.624074738948049, 0.03965183347463608, 0.03965183347463608, 0, 0, 1.2, 0, 0, 0, 1, 0, 0, 0.761, 0, 0, 0, 1]

pose 10 = [-0.0453, 0.3841, 0.9423, -1.3306, 1.6877, -1.5189] q=[2.242373532792997, -1.0734683876977316, -2.8390030189313387, -0.893252873601142, 0.5854637124692404, 1.2730315171728441, 1.7105025887295364, 0.03965183347463608, 0.03965183347463608, 0, 0, 1.2, 0, 0, 0, 1, 0, 0, 0.761, 0, 0, 0, 1]

